City_Size,Category,Full_Category,Count,Percentage,Size_Total,Overall_Percentage,Difference,P_Value,Significant
Large,ask a genuine question,Comment_ask a genuine question,4167,12.421378960860881,33547,12.450396825396826,-0.029017864535944682,0.5784507394764326,False
Large,ask a rhetorical question,Comment_ask a rhetorical question,3600,10.731212925149789,33547,10.659171075837742,0.07204184931204693,0.12760705930826585,False
Large,provide a fact or claim,Comment_provide a fact or claim,23285,69.41008137836468,33547,68.9456569664903,0.46442441187437566,2.603271497714179e-11,True
Large,provide an observation,Comment_provide an observation,12286,36.62324499955287,33547,37.11970899470899,-0.4964639951561267,8.626929470625047e-12,True
Large,express their opinion,Comment_express their opinion,28394,84.63946105463977,33547,84.31437389770723,0.32508715693253976,3.0289666593659265e-09,True
Large,express others opinions,Comment_express others opinions,5461,16.27865382895639,33547,16.18992504409171,0.08872878486468139,0.11449575529759445,False
Large,money aid allocation,Critique_money aid allocation,7523,22.425254121083853,33547,22.142305996472665,0.28294812461118823,6.255377908663719e-06,True
Large,government critique,Critique_government critique,9724,28.986198467821268,33547,28.35648148148148,0.6297169863397869,1.561665758037583e-20,True
Large,societal critique,Critique_societal critique,24815,73.97084687155335,33547,73.46781305114638,0.5030338204069693,3.716559395008641e-14,True
Large,solutions/interventions,Response_solutions/interventions,8703,25.942707246549617,33547,26.176697530864196,-0.23399028431457936,0.0004239603351106769,True
Large,personal interaction,Perception_personal interaction,4787,14.269532297970011,33547,14.49239417989418,-0.22286188192416923,2.779011184774434e-05,True
Large,media portrayal,Perception_media portrayal,2385,7.109428562911736,33547,6.925154320987654,0.18427424192408193,1.6025423762572643e-06,True
Large,not in my backyard,Perception_not in my backyard,3159,9.41663934181894,33547,9.380511463844798,0.03612787797414185,0.4285198675233065,False
Large,harmful generalization,Perception_harmful generalization,9581,28.559930843294485,33547,28.20767195767196,0.3522588856225255,2.0516572374491238e-07,True
Large,deserving/undeserving,Perception_deserving/undeserving,11120,33.14752436879601,33547,33.06327160493827,0.08425276385774083,0.24103051550754187,False
Large,racist,Racist_Flag,53,0.15798730139803857,33547,0.15983245149911815,-0.001845150101079579,0.9528131166739318,False
Small,ask a genuine question,Comment_ask a genuine question,351,12.805545421379058,2741,12.450396825396826,0.35514859598223225,0.5784507394764326,False
Small,ask a rhetorical question,Comment_ask a rhetorical question,268,9.777453484129879,2741,10.659171075837742,-0.8817175917078632,0.12760705930826582,False
Small,provide a fact or claim,Comment_provide a fact or claim,1734,63.261583363735866,2741,68.9456569664903,-5.684073602754438,2.603271497714179e-11,True
Small,provide an observation,Comment_provide an observation,1184,43.19591390003648,2741,37.11970899470899,6.0762049053274865,8.626929470625047e-12,True
Small,express their opinion,Comment_express their opinion,2202,80.3356439255746,2741,84.31437389770723,-3.9787299721326264,3.0289666593659265e-09,True
Small,express others opinions,Comment_express others opinions,414,15.103976650857351,2741,16.18992504409171,-1.0859483932343572,0.11449575529759445,False
Small,money aid allocation,Critique_money aid allocation,512,18.679314118934695,2741,22.142305996472665,-3.46299187753797,6.2553779086637284e-06,True
Small,government critique,Critique_government critique,566,20.64939802991609,2741,28.35648148148148,-7.707083451565392,1.561665758037583e-20,True
Small,societal critique,Critique_societal critique,1845,67.31120029186428,2741,73.46781305114638,-6.156612759282098,3.716559395008654e-14,True
Small,solutions/interventions,Response_solutions/interventions,796,29.040496169281283,2741,26.176697530864196,2.8637986384170873,0.0004239603351106769,True
Small,personal interaction,Perception_personal interaction,472,17.219992703392922,2741,14.49239417989418,2.7275985234987417,2.779011184774434e-05,True
Small,media portrayal,Perception_media portrayal,128,4.669828529733674,2741,6.925154320987654,-2.2553257912539806,1.602542376257261e-06,True
Small,not in my backyard,Perception_not in my backyard,245,8.93834367019336,2741,9.380511463844798,-0.44216779365143744,0.4285198675233065,False
Small,harmful generalization,Perception_harmful generalization,655,23.896388179496533,2741,28.20767195767196,-4.311283778175426,2.0516572374491238e-07,True
Small,deserving/undeserving,Perception_deserving/undeserving,878,32.03210507114192,2741,33.06327160493827,-1.0311665337963518,0.24103051550754181,False
Small,racist,Racist_Flag,5,0.18241517694272164,2741,0.15983245149911815,0.022582725443603485,0.9528131166739318,False
